experiment,case,descriptor,records,termination
step_size_phase_diagram,9,eta=0.5;family=reduced_gaussian;seed=0;spectrum=well_separated,50,converged
step_size_phase_diagram,10,eta=0.8;family=reduced_gaussian;seed=0;spectrum=well_separated,33,converged
step_size_phase_diagram,11,eta=1.0;family=reduced_gaussian;seed=0;spectrum=well_separated,39,cycle
step_size_phase_diagram,12,eta=1.201171672788452e-19;family=orthonormal;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,13,eta=1.201171672788452e-18;family=orthonormal;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,14,eta=1.201171672788452e-17;family=orthonormal;seed=0;spectrum=well_separated,1,stagnated
step_size_phase_diagram,15,eta=0.5;family=orthonormal;seed=0;spectrum=well_separated,49,converged
step_size_phase_diagram,16,eta=0.8;family=orthonormal;seed=0;spectrum=well_separated,33,converged
step_size_phase_diagram,17,eta=1.0;family=orthonormal;seed=0;spectrum=well_separated,40,cycle
step_size_phase_diagram,18,eta=5.0600065016698446e-82;family=ill_conditioned;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,19,eta=5.060006501669844e-81;family=ill_conditioned;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,20,eta=5.060006501669844e-80;family=ill_conditioned;seed=0;spectrum=well_separated,1,underflow
step_size_phase_diagram,21,eta=0.5;family=ill_conditioned;seed=0;spectrum=well_separated,2,diverged
step_size_phase_diagram,22,eta=0.8;family=ill_conditioned;seed=0;spectrum=well_separated,2,diverged
step_size_phase_diagram,23,eta=1.0;family=ill_conditioned;seed=0;spectrum=well_separated,2,diverged
step_size_phase_diagram,24,eta=1.6437572614714574e-61;family=support_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,25,eta=1.6437572614714573e-60;family=support_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,26,eta=1.6437572614714573e-59;family=support_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,27,eta=0.5;family=support_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,28,eta=0.9950248756218907;family=support_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,29,eta=1.0;family=support_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,30,eta=8.960336778035452e-95;family=reduced_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,31,eta=8.960336778035451e-94;family=reduced_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,32,eta=8.96033677803545e-93;family=reduced_gaussian;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,33,eta=0.5;family=reduced_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,34,eta=0.9950248756218907;family=reduced_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,35,eta=1.0;family=reduced_gaussian;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,36,eta=1.1235792484345106e-18;family=orthonormal;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,37,eta=1.1235792484345106e-17;family=orthonormal;seed=0;spectrum=small_gap,1,stagnated
step_size_phase_diagram,38,eta=1.1235792484345107e-16;family=orthonormal;seed=0;spectrum=small_gap,1,stagnated
step_size_phase_diagram,39,eta=0.5;family=orthonormal;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,40,eta=0.9950248756218907;family=orthonormal;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,41,eta=1.0;family=orthonormal;seed=0;spectrum=small_gap,51,max_steps
step_size_phase_diagram,42,eta=2.9491114426296073e-81;family=ill_conditioned;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,43,eta=2.949111442629607e-80;family=ill_conditioned;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,44,eta=2.949111442629607e-79;family=ill_conditioned;seed=0;spectrum=small_gap,1,underflow
step_size_phase_diagram,45,eta=0.5;family=ill_conditioned;seed=0;spectrum=small_gap,2,diverged
step_size_phase_diagram,46,eta=0.9950248756218907;family=ill_conditioned;seed=0;spectrum=small_gap,2,diverged
step_size_phase_diagram,47,eta=1.0;family=ill_conditioned;seed=0;spectrum=small_gap,2,diverged
step_size_phase_diagram,48,eta=4.358355201214409e-45;family=support_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,49,eta=4.358355201214408e-44;family=support_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,50,eta=4.3583552012144085e-43;family=support_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,51,eta=0.5;family=support_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,52,eta=0.9090909090909091;family=support_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,53,eta=1.0;family=support_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,54,eta=1.121996839496286e-97;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,55,eta=1.121996839496286e-96;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,56,eta=1.121996839496286e-95;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,57,eta=0.5;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,58,eta=0.9090909090909091;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,59,eta=1.0;family=reduced_gaussian;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,60,eta=2.8459194273810036e-22;family=orthonormal;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,61,eta=2.8459194273810033e-21;family=orthonormal;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,62,eta=2.845919427381003e-20;family=orthonormal;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,63,eta=0.5;family=orthonormal;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,64,eta=0.9090909090909091;family=orthonormal;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,65,eta=1.0;family=orthonormal;seed=0;spectrum=ill_conditioned,51,max_steps
step_size_phase_diagram,66,eta=3.545372255487903e-84;family=ill_conditioned;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,67,eta=3.545372255487903e-83;family=ill_conditioned;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,68,eta=3.545372255487903e-82;family=ill_conditioned;seed=0;spectrum=ill_conditioned,1,underflow
step_size_phase_diagram,69,eta=0.5;family=ill_conditioned;seed=0;spectrum=ill_conditioned,2,diverged
step_size_phase_diagram,70,eta=0.9090909090909091;family=ill_conditioned;seed=0;spectrum=ill_conditioned,2,diverged
step_size_phase_diagram,71,eta=1.0;family=ill_conditioned;seed=0;spectrum=ill_conditioned,2,diverged
tied_eigenvalues,0,eta=0.5;delta=0;seed=0,86,converged
tied_eigenvalues,1,eta=0.5;delta=0;seed=1,85,converged
tied_eigenvalues,2,eta=0.5;delta=0.01;seed=0,101,max_steps
tied_eigenvalues,3,eta=0.5;delta=0.01;seed=1,101,max_steps
tied_eigenvalues,4,eta=0.5;delta=0.1;seed=0,101,max_steps
tied_eigenvalues,5,eta=0.5;delta=0.1;seed=1,101,max_steps
